size,cpu,naive,naive_shared,efficient,efficient_shared,thrust
3072,0.0054,0.23552,0.06176,0.216064,0.03072,0.532544
4096,0.0053,0.063872,0.029696,0.110592,0.029056,0.016384
6144,0.0091,0.057344,0.017408,0.119808,0.017696,0.016384
8192,0.0121,0.055296,0.01568,0.118784,0.017408,0.01536
12288,0.0192,0.0512,0.018432,0.144608,0.027648,0.016128
16384,0.0251,0.055296,0.01536,0.125952,0.0256,0.02048
24576,0.0365,0.070016,0.029536,0.139328,0.03104,0.027168
32768,0.0482,0.070336,0.031008,0.133728,0.032128,0.016768
49152,0.0747,0.080192,0.030592,0.130176,0.042592,0.027072
65536,0.0992,0.109664,0.0336,0.13696,0.032896,0.026208
98304,0.1526,0.09168,0.046624,0.172704,0.042592,0.018112
131072,0.1965,0.101536,0.055296,0.190944,0.057216,0.021024
196608,0.2956,0.097216,0.05376,0.213952,0.045952,0.021312
262144,0.3941,0.130144,0.186816,0.213472,0.250624,0.348896
393216,0.6042,0.140352,0.059968,0.2504,0.054112,0.038048
524288,0.7834,0.151168,0.1904,0.226112,0.183104,0.222336
786432,1.1698,0.226976,0.254112,0.302048,0.219584,0.248928
1048576,1.5385,0.2528,0.234848,0.288736,0.231776,0.245312
1572864,2.3335,0.361856,0.273344,0.404608,0.26864,0.273152
2097152,3.0905,0.460512,0.36976,0.400224,0.307168,0.327872
3145728,4.7621,1.0815,0.443808,0.633216,0.375424,0.334688
4194304,6.0987,3.04243,0.517248,0.627424,0.49904,0.455072
6291456,8.7102,4.87926,0.70144,2.7017,0.656832,0.500768
8388608,12.2483,6.5577,0.874304,2.71085,0.856128,0.576576
12582912,18.8927,10.3808,1.27315,5.41664,1.19206,0.73408
16777216,24.4191,13.9273,1.47178,5.38208,1.53862,0.914592
25165824,36.9026,21.9769,2.20976,10.9207,2.14538,1.27142
33554432,49.3973,29.4265,2.72307,10.8846,2.8817,1.48381
50331648,72.5261,46.3841,3.88227,21.8944,3.95635,2.14032
67108864,98.2726,62.1658,5.30842,21.9305,5.16874,2.70349
100663296,147.867,97.5226,7.65562,44.1576,7.6089,3.86176
134217728,194.261,130.715,10.051,43.9886,9.79606,4.94291
201326592,295.171,204.187,14.3049,88.302,14.3689,7.15814
268435456,375.791,274.08,18.8724,88.2486,18.6455,9.51043
402653184,601.622,427.957,28.0231,176.814,27.5624,13.44
536870912,974.43,573.543,37.1199,176.819,36.5023,17.9897
