size,cpu,cpu_scan,naive,naive_shared,efficient,efficient_shared,thrust
3072,0.0013,0.0117,0.088064,0.033664,0.118784,0.032768,0.065408
4096,0.0017,0.017,0.065536,0.043104,0.12288,0.032768,0.025504
6144,0.0025,0.0244,0.077824,0.036864,0.134144,0.023552,0.026496
8192,0.0031,0.0272,0.073728,0.036864,0.133696,0.031744,0.02656
12288,0.0049,0.0372,0.075776,0.027648,0.134144,0.021504,0.027232
16384,0.0061,0.0366,0.052224,0.019456,0.122976,0.019456,0.025728
24576,0.0091,0.0624,0.072128,0.0336,0.155712,0.03632,0.032448
32768,0.0127,0.08,0.082336,0.034976,0.154272,0.067872,0.028896
49152,0.0184,0.1306,0.081952,0.035776,0.143424,0.047008,0.031296
65536,0.0246,0.1551,0.089952,0.037376,0.162208,0.037504,0.030944
98304,0.0385,0.3794,0.12928,0.06256,0.18976,0.066496,0.036032
131072,0.0535,0.3029,0.123808,0.277504,0.185536,0.232736,0.03552
196608,0.0727,0.6553,0.15824,0.060256,0.22112,0.062848,0.027904
262144,0.0971,0.7881,0.159648,0.199744,0.214624,0.176096,0.032864
393216,0.1408,1.2088,0.143648,0.070272,0.243872,0.0648,0.03888
524288,0.1931,1.5801,0.166048,0.196384,0.22272,0.208736,0.226304
786432,0.2916,2.4304,0.258048,0.249952,0.331072,0.32432,0.249632
1048576,0.411,3.1478,0.276608,0.257152,0.348256,0.253568,0.229472
1572864,0.859,5.1979,0.398848,0.31152,0.465504,0.359616,0.272832
2097152,0.8713,6.6675,0.58,0.413568,0.487584,0.401664,0.281824
3145728,1.3565,10.1275,1.32128,0.581792,0.825248,0.567456,0.304736
4194304,1.8137,13.2507,3.38666,0.756128,0.9208,0.799616,0.386912
6291456,3.9379,21.1034,5.39898,1.09546,3.18646,1.15478,0.4728
8388608,4.2212,27.5899,7.24522,1.41408,3.36221,1.4071,0.596928
12582912,7.1139,43.8707,11.3595,2.07629,6.3799,2.0296,0.726272
16777216,8.6801,56.054,15.2716,2.66848,6.67946,2.52928,0.913728
25165824,12.0402,83.6192,23.9335,4.01091,12.7658,3.87386,1.18813
33554432,16.932,113.692,32.1326,5.09654,13.423,4.98198,1.52064
50331648,25.173,170.336,50.3635,7.53264,25.6652,7.39098,2.09206
67108864,33.6546,232.196,67.4892,9.96061,26.9744,9.8593,2.74765
100663296,49.5139,342.458,105.468,14.9252,51.5211,14.6619,3.92691
134217728,66.5551,464.529,141.244,19.9086,54.1514,19.5715,4.95219
201326592,102.534,861.125,220.405,29.8208,103.133,29.3316,7.18611
268435456,151.475,992.703,295.175,39.6428,108.402,39.0363,9.5257
402653184,198.789,1366.64,459.589,59.0939,206.379,58.3298,13.5213
536870912,270.742,2034.17,641.726,104.972,242.908,103.584,18.449
